id,url,date,rawContent,hashtags,cashtags,media,lang,user,retweetCount,likeCount
1.42988E+18,https://twitter.com/JonWiener1/status/1429878354589720579,2021-08-23 18:49:00+00:00,"Afghanistan, Vietnam &amp; American Politics: @HaroldMeyerson of @TheProspect on the end of the #VietnamWar in 1975 and the election of 1976; on the podcast 'Living in the USA' https://t.co/MCxMy1Wyw6 #Afghanistan #USElections https://t.co/xxjpXtjsTw","['VietnamWar', 'Afghanistan', 'USElections']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9csr6zVUAIFam9?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9csr6zVUAIFam9?format=jpg&name=large'}]",en,JonWiener1,0,1
1.42982E+18,https://twitter.com/JonWiener1/status/1429816446637559812,2021-08-23 14:43:00+00:00,The Afghanistan Papers vs. The Pentagon Papers: @HaroldMeyerson of @TheProspect comments on the podcast 'Living in the USA' https://t.co/MCxMy1Wyw6 #Afghanistan #USElections #AfghanistanPapers #PentagonPapers https://t.co/cxhbFVl01e,"['Afghanistan', 'USElections', 'AfghanistanPapers', 'PentagonPapers']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9csOtVUYAYnVFM?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9csOtVUYAYnVFM?format=jpg&name=large'}]",en,JonWiener1,3,8
1.42978E+18,https://twitter.com/AliAlibhai/status/1429783229121323012,2021-08-23 12:31:00+00:00,"@thehill It SEEMS, #realDonaldTrump will help the #Taliban, #ISIS,  #ALQAEDA by taking #USA,  single-handed, irreversibly down the abyss next time he wins the #USElections. Again, Next #PRESIDENTofTheUSA.
#USElections2024.
The job he had begun after winning the election in 2016.
@POTUS.","['realDonaldTrump', 'Taliban', 'ISIS', 'ALQAEDA', 'USA', 'USElections', 'PRESIDENTofTheUSA', 'USElections2024']",,,en,AliAlibhai,0,0
1.42961E+18,https://twitter.com/KidKoratea/status/1429605510609707014,2021-08-23 00:44:49+00:00,"@LionelMedia ""I, and millions of Americans, gave my faith and trust to successive administrations who told us that we were in Afghanistan to protect our country and support a new democratic Afghan state."" 

Wasn't 80 million; those who did are regretting it now BIG TIME! 
#Jolie #USElections","['Jolie', 'USElections']",,,en,KidKoratea,0,0
1.42916E+18,https://twitter.com/Tombaan66/status/1429156589248856074,2021-08-21 19:00:57+00:00,This kind lady wants to help..#Uselections wrong doings coming out and now #Afghanistan in case you guys need it she is holding a webinar.. https://t.co/oVwZxMueqm,"['Uselections', 'Afghanistan']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9ViWAkXoAA5HHG?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9ViWAkXoAA5HHG?format=jpg&name=large'}]",en,Tombaan66,0,0
1.42881E+18,https://twitter.com/JonWiener1/status/1428809814033920002,2021-08-20 20:03:00+00:00,Why the disastrous end of our Afghan war won’t matter in the elections in 2022 &amp; 2024: @HaroldMeyerson of @TheProspect explains on the podcast 'Living in the USA' https://t.co/MCxMy1EX7w #Afghanistan #USElections https://t.co/AyvQPdiCoO,"['Afghanistan', 'USElections']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E9N2Fw2X0AMyGdr?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E9N2Fw2X0AMyGdr?format=jpg&name=large'}]",en,JonWiener1,0,1
1.42876E+18,https://twitter.com/lizzieBusey/status/1428755801615831040,2021-08-20 16:28:22+00:00,"It's called falling from grace, the same people who recognised him as the winner of #USElections before the #US authorities did so that they can see Trump off are now having to condemn him #Karma 
#Taliban #Afghanistan #DementiaJoe #JoeBiden","['USElections', 'US', 'Karma', 'Taliban', 'Afghanistan', 'DementiaJoe', 'JoeBiden']",,,en,lizzieBusey,0,1
1.42838E+18,https://twitter.com/PaulMaxit/status/1428382086998765569,2021-08-19 15:43:22+00:00,"#USElections Oui, il y en a qui croient que le sénile #JoeBiden a vraiment été élu président des USA. https://t.co/RmB9a4jxcC","['USElections', 'JoeBiden']",,,fr,PaulMaxit,0,1
1.42825E+18,https://twitter.com/crazyjoedevola/status/1428251425486753795,2021-08-19 07:04:10+00:00,"So how does the #US know how many people have had a #Vaccination? Here's a thought, use those same means to compile a voting list, It's not hard or is it too hard for minorities to organise a vaccination as well as register to #Vote? #Biden #USElections #EasyPeasey","['US', 'Vaccination', 'Vote', 'Biden', 'USElections', 'EasyPeasey']",,,en,crazyjoedevola,0,0
1.42732E+18,https://twitter.com/kevinlbrx_ilr/status/1427317821319565317,2021-08-16 17:14:21+00:00,#regimechange in #afghanistan: How many people complaining about Russian interference with #USelections for 5 years have complained about US interference in the politics of other countries? #WeDidThis. https://t.co/xXWWvSM030,"['regimechange', 'afghanistan', 'USelections', 'WeDidThis']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E87X1NvXoAQM2_K?format=png&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E87X1NvXoAQM2_K?format=png&name=large'}]",en,kevinlbrx_ilr,0,0
1.42578E+18,https://twitter.com/soulshiva06/status/1425779988347772930,2021-08-12 11:23:33+00:00,"@AmitBagaria12 Truly said , thats why these devil souls have manipulated the #USElections to remove trump 🙄 , its pity",['USElections'],,,en,soulshiva06,0,0
